XCoord,YCoord,RASTERVALU,DISTANCE
584999.42900000,4732364.19600000,565.059875,0.000000
584999.41500000,4732364.24400000,565.069397,0.050000
584999.40100000,4732364.29200000,565.069397,0.100000
584999.38600000,4732364.34000000,565.055359,0.150000
584999.37200000,4732364.38800000,565.055359,0.200000
584999.35800000,4732364.43600000,565.045471,0.250000
584999.34400000,4732364.48400000,565.045471,0.300000
584999.33000000,4732364.53200000,565.045471,0.350000
584999.31600000,4732364.58000000,565.035461,0.400000
584999.30200000,4732364.62800000,565.035461,0.450000
584999.28700000,4732364.67600000,565.048645,0.500000
584999.27300000,4732364.72300000,565.036377,0.550000
584999.25900000,4732364.77100000,565.036377,0.600000
584999.24500000,4732364.81900000,565.029358,0.650000
584999.23100000,4732364.86700000,565.029358,0.700000
584999.21700000,4732364.91500000,565.029358,0.750000
584999.20300000,4732364.96300000,565.019043,0.800000
584999.18800000,4732365.01100000,565.019043,0.850000
584999.17400000,4732365.05900000,564.999084,0.900000
584999.16000000,4732365.10700000,565.015503,0.950000
584999.14600000,4732365.15500000,565.015503,1.000000
584999.13200000,4732365.20300000,565.000427,1.050000
584999.11800000,4732365.25100000,565.000427,1.100000
584999.10400000,4732365.29900000,564.982239,1.150000
584999.08900000,4732365.34700000,564.982239,1.200000
584999.07500000,4732365.39500000,564.982239,1.250000
584999.06100000,4732365.44300000,564.974060,1.300000
584999.04700000,4732365.49100000,564.979126,1.350000
584999.03300000,4732365.53900000,564.979126,1.400000
584999.01900000,4732365.58700000,564.974792,1.450000
584999.00400000,4732365.63500000,564.974792,1.500000
584998.99000000,4732365.68300000,564.972229,1.550000
584998.97600000,4732365.73100000,564.972229,1.600000
584998.96200000,4732365.77900000,564.972229,1.650000
584998.94800000,4732365.82700000,564.969360,1.700000
584998.93400000,4732365.87400000,564.969360,1.750000
584998.92000000,4732365.92200000,564.990295,1.800000
