XCoord,YCoord,RASTERVALU,DISTANCE
585261.99800000,4732304.29100000,543.350037,0.000000
585261.99900000,4732304.34100000,543.350037,0.050000
585262.00100000,4732304.39100000,543.309326,0.100000
585262.00200000,4732304.44100000,543.309326,0.150000
585262.00400000,4732304.49100000,543.282898,0.200000
585262.00500000,4732304.54100000,543.282898,0.250000
585262.00700000,4732304.59100000,543.254395,0.300000
585262.00800000,4732304.64100000,543.254395,0.350000
585262.01000000,4732304.69100000,543.254395,0.400000
585262.01100000,4732304.74100000,543.217651,0.450000
585262.01300000,4732304.79100000,543.217651,0.500000
585262.01500000,4732304.84100000,543.209167,0.550000
585262.01600000,4732304.89100000,543.209167,0.600000
585262.01800000,4732304.94100000,543.209167,0.650000
585262.01900000,4732304.99100000,543.207764,0.700000
585262.02100000,4732305.04100000,543.207764,0.750000
585262.02200000,4732305.09100000,543.216125,0.800000
585262.02400000,4732305.14100000,543.216125,0.850000
585262.02500000,4732305.19100000,543.216125,0.900000
585262.02700000,4732305.24100000,543.253967,0.950000
585262.02900000,4732305.29000000,543.253967,1.000000
585262.03000000,4732305.34000000,543.302551,1.050000
585262.03200000,4732305.39000000,543.302551,1.100000
585262.03300000,4732305.44000000,543.302551,1.150000
585262.03500000,4732305.49000000,543.342834,1.200000
585262.03600000,4732305.54000000,543.342834,1.250000
585262.03800000,4732305.59000000,543.374573,1.300000
585262.03900000,4732305.64000000,543.374573,1.350000
585262.04100000,4732305.69000000,543.374573,1.400000
585262.04200000,4732305.74000000,543.424622,1.450000
585262.04400000,4732305.79000000,543.424622,1.500000
585262.04600000,4732305.84000000,543.459595,1.550000
585262.04700000,4732305.89000000,543.459595,1.600000
585262.04900000,4732305.94000000,543.459595,1.650000
585262.05000000,4732305.99000000,543.487549,1.700000
585262.05200000,4732306.04000000,543.487549,1.750000
585262.05300000,4732306.09000000,543.505981,1.800000
585262.05500000,4732306.14000000,543.505981,1.850000
585262.05600000,4732306.19000000,543.522705,1.900000
585262.05800000,4732306.24000000,543.522705,1.950000
