XCoord,YCoord,RASTERVALU,DISTANCE
585116.96300000,4732371.09000000,554.455444,0.000000
585116.97300000,4732371.13900000,554.455444,0.050000
585116.98200000,4732371.18800000,554.455444,0.100000
585116.99200000,4732371.23700000,554.405640,0.150000
585117.00200000,4732371.28600000,554.405640,0.200000
585117.01200000,4732371.33500000,554.385864,0.250000
585117.02200000,4732371.38400000,554.381531,0.300000
585117.03100000,4732371.43300000,554.381531,0.350000
585117.04100000,4732371.48200000,554.377502,0.400000
585117.05100000,4732371.53100000,554.377502,0.450000
585117.06100000,4732371.58000000,554.378174,0.500000
585117.07100000,4732371.62900000,554.378174,0.550000
585117.08000000,4732371.67800000,554.378174,0.600000
585117.09000000,4732371.72700000,554.389587,0.650000
585117.10000000,4732371.77600000,554.389587,0.700000
585117.11000000,4732371.82500000,554.407837,0.750000
585117.12000000,4732371.87500000,554.407837,0.800000
585117.12900000,4732371.92400000,554.407837,0.850000
585117.13900000,4732371.97300000,554.435730,0.900000
585117.14900000,4732372.02200000,554.425415,0.950000
585117.15900000,4732372.07100000,554.447693,1.000000
585117.16900000,4732372.12000000,554.447693,1.050000
585117.17800000,4732372.16900000,554.447693,1.100000
