XCoord,YCoord,RASTERVALU,DISTANCE
585159.87400000,4732360.07700000,551.563904,0.000000
585159.88500000,4732360.12600000,551.526428,0.050000
585159.89600000,4732360.17400000,551.526428,0.100000
585159.90700000,4732360.22300000,551.526428,0.150000
585159.91800000,4732360.27200000,551.474182,0.200000
585159.92900000,4732360.32100000,551.474182,0.250000
585159.94000000,4732360.36900000,551.474182,0.300000
585159.95100000,4732360.41800000,551.437378,0.350000
585159.96200000,4732360.46700000,551.437378,0.400000
585159.97300000,4732360.51600000,551.407104,0.450000
585159.98400000,4732360.56500000,551.407104,0.500000
585159.99500000,4732360.61300000,551.407104,0.550000
585160.00500000,4732360.66200000,551.343201,0.600000
585160.01600000,4732360.71100000,551.343201,0.650000
585160.02700000,4732360.76000000,551.321716,0.700000
585160.03800000,4732360.80900000,551.321716,0.750000
585160.04900000,4732360.85700000,551.321716,0.800000
585160.06000000,4732360.90600000,551.317688,0.850000
585160.07100000,4732360.95500000,551.317688,0.900000
585160.08200000,4732361.00400000,551.334229,0.950000
585160.09300000,4732361.05200000,551.334229,1.000000
585160.10400000,4732361.10100000,551.334229,1.050000
585160.11500000,4732361.15000000,551.355530,1.100000
585160.12600000,4732361.19900000,551.361267,1.150000
585160.13700000,4732361.24800000,551.387512,1.200000
585160.14800000,4732361.29600000,551.387512,1.250000
585160.15900000,4732361.34500000,551.387512,1.300000
585160.17000000,4732361.39400000,551.422668,1.350000
585160.18100000,4732361.44300000,551.422668,1.400000
585160.19200000,4732361.49200000,551.482239,1.450000
585160.20300000,4732361.54000000,551.482239,1.500000
585160.21400000,4732361.58900000,551.482239,1.550000
585160.22500000,4732361.63800000,551.529358,1.600000
585160.23600000,4732361.68700000,551.529358,1.650000
585160.24700000,4732361.73500000,551.588501,1.700000
585160.25800000,4732361.78400000,551.588501,1.750000
585160.26900000,4732361.83300000,551.588501,1.800000
585160.28000000,4732361.88200000,551.643188,1.850000
