Length;Depth until soil surface;Water Depth;Water height;Depth until water surface
0;0;0;0;0
0.05;0.03;0;0;0.03
0.1;0.09;0;0;0.09
0.15;0.21;0;0;0.21
0.2;0.38;0;0;0.38
0.25;0.41;0;0;0.41
0.3;0.92;0;0;0.92
0.35;0.92;0;0;0.92
0.4;0.89;0;0;0.89
0.45;0.87;0.01;0;0.86
0.5;0.84;0.03;0;0.81
0.55;0.8;0.06;0;0.74
0.6;0.76;0.06;0;0.7
0.65;0.73;0;0;0.73
0.7;0.74;0;0;0.74
0.75;0.7;0;0;0.7
0.8;0.55;0;0;0.55
0.85;0.52;0;0;0.52
0.9;0.52;0;0;0.52
0.95;0.33;0;0;0.33
1;0.29;0;0;0.29
1.05;0.23;0;0;0.23
1.1;0.16;0;0;0.16
1.15;0.12;0;0;0.12
1.2;0.06;0;0;0.06
1.25;0.04;0;0;0.04
1.3;0.02;0;0;0.02
1.35;0;0;0;0
