XCoord,YCoord,RASTERVALU,DISTANCE
585843.88800000,4731950.09300000,502.987610,0.000000
585843.87600000,4731950.14100000,502.987610,0.050000
585843.86400000,4731950.19000000,502.966583,0.100000
585843.85300000,4731950.23800000,502.966583,0.150000
585843.84100000,4731950.28700000,502.966583,0.200000
585843.82900000,4731950.33500000,502.956055,0.250000
585843.81700000,4731950.38400000,502.956055,0.300000
585843.80500000,4731950.43300000,502.966003,0.350000
585843.79300000,4731950.48100000,502.966003,0.400000
585843.78100000,4731950.53000000,502.966003,0.450000
585843.77000000,4731950.57800000,502.959961,0.500000
585843.75800000,4731950.62700000,502.959961,0.550000
585843.74600000,4731950.67500000,502.957855,0.600000
585843.73400000,4731950.72400000,502.957855,0.650000
585843.72200000,4731950.77300000,502.957855,0.700000
585843.71000000,4731950.82100000,502.947876,0.750000
585843.69900000,4731950.87000000,502.947876,0.800000
585843.68700000,4731950.91800000,502.967346,0.850000
585843.67500000,4731950.96700000,502.961487,0.900000
