XCoord,YCoord,RASTERVALU,DISTANCE
585541.60300000,4731813.85500000,538.635193,0.000000
585541.59700000,4731813.90400000,538.579468,0.050000
585541.59100000,4731813.95400000,538.579468,0.100000
585541.58400000,4731814.00300000,538.522400,0.150000
585541.57800000,4731814.05300000,538.522400,0.200000
585541.57200000,4731814.10300000,538.522400,0.250000
585541.56600000,4731814.15200000,538.450073,0.300000
585541.56000000,4731814.20200000,538.450073,0.350000
585541.55400000,4731814.25200000,538.404297,0.400000
585541.54800000,4731814.30100000,538.404297,0.450000
585541.54100000,4731814.35100000,538.404297,0.500000
585541.53500000,4731814.40000000,538.366211,0.550000
585541.52900000,4731814.45000000,538.366211,0.600000
585541.52300000,4731814.50000000,538.354797,0.650000
585541.51700000,4731814.54900000,538.354797,0.700000
585541.51100000,4731814.59900000,538.366028,0.750000
585541.50500000,4731814.64900000,538.366028,0.800000
585541.49800000,4731814.69800000,538.366028,0.850000
585541.49200000,4731814.74800000,538.390747,0.900000
585541.48600000,4731814.79700000,538.390747,0.950000
585541.48000000,4731814.84700000,538.413330,1.000000
585541.47400000,4731814.89700000,538.413330,1.050000
585541.46800000,4731814.94600000,538.413330,1.100000
585541.46200000,4731814.99600000,538.433533,1.150000
585541.45500000,4731815.04600000,538.433533,1.200000
585541.44900000,4731815.09500000,538.445740,1.250000
