XCoord,YCoord,RASTERVALU,DISTANCE
585029.85700000,4732367.09700000,562.452515,0.000000
585029.84900000,4732367.14700000,562.430664,0.050000
585029.84000000,4732367.19600000,562.430664,0.100000
585029.83200000,4732367.24500000,562.438171,0.150000
585029.82300000,4732367.29400000,562.433289,0.200000
585029.81500000,4732367.34400000,562.433289,0.250000
585029.80600000,4732367.39300000,562.424255,0.300000
585029.79800000,4732367.44200000,562.424255,0.350000
585029.78900000,4732367.49100000,562.424255,0.400000
585029.78100000,4732367.54100000,562.390259,0.450000
585029.77200000,4732367.59000000,562.390259,0.500000
585029.76300000,4732367.63900000,562.383179,0.550000
585029.75500000,4732367.68800000,562.383179,0.600000
585029.74600000,4732367.73800000,562.383179,0.650000
585029.73800000,4732367.78700000,562.371826,0.700000
585029.72900000,4732367.83600000,562.371826,0.750000
585029.72100000,4732367.88500000,562.356140,0.800000
585029.71200000,4732367.93500000,562.356140,0.850000
