XCoord,YCoord,RASTERVALU,DISTANCE
585086.06500000,4732375.77300000,557.204163,0.000000
585086.06700000,4732375.82300000,557.204163,0.050000
585086.07000000,4732375.87300000,557.204163,0.100000
585086.07300000,4732375.92300000,557.190552,0.150000
585086.07600000,4732375.97300000,557.190552,0.200000
585086.07800000,4732376.02300000,557.139954,0.250000
585086.08100000,4732376.07200000,557.139954,0.300000
585086.08400000,4732376.12200000,557.139954,0.350000
585086.08600000,4732376.17200000,557.115662,0.400000
585086.08900000,4732376.22200000,557.115662,0.450000
585086.09200000,4732376.27200000,557.105835,0.500000
585086.09500000,4732376.32200000,557.105835,0.550000
585086.09700000,4732376.37200000,557.105835,0.600000
585086.10000000,4732376.42200000,557.099609,0.650000
585086.10300000,4732376.47200000,557.099609,0.700000
585086.10500000,4732376.52200000,557.098755,0.750000
585086.10800000,4732376.57200000,557.098755,0.800000
585086.11100000,4732376.62200000,557.098755,0.850000
585086.11300000,4732376.67200000,557.091614,0.900000
585086.11600000,4732376.72200000,557.091614,0.950000
585086.11900000,4732376.77100000,557.087585,1.000000
585086.12200000,4732376.82100000,557.087585,1.050000
585086.12400000,4732376.87100000,557.087585,1.100000
585086.12700000,4732376.92100000,557.096924,1.150000
585086.13000000,4732376.97100000,557.096924,1.200000
585086.13200000,4732377.02100000,557.104492,1.250000
585086.13500000,4732377.07100000,557.104492,1.300000
585086.13800000,4732377.12100000,557.104553,1.350000
585086.14100000,4732377.17100000,557.104553,1.400000
585086.14300000,4732377.22100000,557.104553,1.450000
