Length;Depth until soil surface;Water Depth;Water height;Depth until water surface
0;0;0;0;0
0.05;0.02;0;0.02;0.02
0.1;0.04;0;0.04;0.04
0.15;0.07;0;0.07;0.07
0.2;0.12;0;0.12;0.12
0.25;0.15;0;0.15;0.15
0.3;0.34;0;0.34;0.34
0.35;0.41;0;0.41;0.41
0.4;0.46;0;0.46;0.46
0.45;0.49;0;0.49;0.49
0.5;0.55;0;0.55;0.55
0.55;0.92;0;0.92;0.92
0.6;0.98;0.01;0.97;0.97
0.65;1;0.03;0.97;0.97
0.7;1;0.03;0.97;0.97
0.75;1.02;0.05;0.97;0.97
0.8;1.02;0.05;0.97;0.97
0.85;1.05;0.07;0.98;0.98
0.9;1.05;0.08;0.97;0.97
0.95;1.05;0.08;0.97;0.97
1;1.06;0.09;0.97;0.97
1.05;1.05;0.08;0.97;0.97
1.1;1.07;0.1;0.97;0.97
1.15;1.06;0.08;0.98;0.98
1.2;1.04;0.05;0.99;0.99
1.25;1.02;0.01;1.01;1.01
1.3;0.38;0;0.38;0.38
1.35;0.35;0;0.35;0.35
1.4;0.32;0;0.32;0.32
1.45;0.31;0;0.31;0.31
1.5;0.25;0;0.25;0.25
1.55;0.18;0;0.18;0.18
1.6;0.1;0;0.1;0.1
1.65;0.05;0;0.05;0.05
1.7;0.02;0;0.02;0.02
1.75;0;0;0;0
