Length;Depth until soil surface;Water Depth;Water height;Depth until water surface
0;0;0;0;0
0.05;0.01;0;0.01;0.01
0.1;0.05;0;0.05;0.05
0.15;0.1;0;0.1;0.1
0.2;0.16;0;0.16;0.16
0.25;0.21;0;0.21;0.21
0.3;0.23;0;0.23;0.23
0.35;0.27;0;0.27;0.27
0.4;0.34;0;0.34;0.34
0.45;0.38;0;0.38;0.38
0.5;0.51;0;0.51;0.51
0.55;0.81;0;0.81;0.81
0.6;1.07;0.07;1;1
0.65;1.08;0.08;1;1
0.7;1.1;0.1;1;1
0.75;1.12;0.11;1.01;1.01
0.8;1.12;0.11;1.01;1.01
0.85;1.09;0.09;1;1
0.9;1.08;0.08;1;1
0.95;1.07;0.07;1;1
1;1.06;0.07;0.99;0.99
1.05;1.01;0;1.01;1.01
1.1;1;0;1;1
1.15;1.01;0;1.01;1.01
1.2;0.92;0;0.92;0.92
1.25;0.92;0;0.92;0.92
1.3;0.88;0;0.88;0.88
1.35;0.86;0;0.86;0.86
1.4;0.82;0;0.82;0.82
1.45;0.78;0;0.78;0.78
1.5;0.73;0;0.73;0.73
1.55;0.7;0;0.7;0.7
1.6;0.67;0;0.67;0.67
1.65;0.62;0;0.62;0.62
1.7;0.51;0;0.51;0.51
1.75;0.28;0;0.28;0.28
1.8;0.11;0;0.11;0.11
1.85;0.03;0;0.03;0.03
1.9;0.01;0;0.01;0.01
1.95;0;0;0;0
